State,Action,Q-value
0,-1,-1316.8176779343291
0,1,-1316.8027994320773
0,0,-1317.3997961706355
1,-1,-1324.95742280981
1,0,-1324.811131072426
1,1,-1324.4806919830235
-1,-1,-822.6489005754029
-1,1,-854.3867882468247
-1,0,-801.4058531638369
